444
26232   138      0 35006 945900    22    44    25    41     6     3     0     2     5     0    14     5
26233  5172   1782 35001   3502   236  1002   286  2919   729   438   752   345   341   132    50     0
26234  3701    783 35001   4722   233   699   955  1619   195   388   556   228   167    76     8     0
26235  7141    760 35001   4723   604  1953   525  3769   290   314   664   458   587   215    83    25
26236  5300   3705 35001   3501   310  1092   742  2521   635   561   601   362   292   157    34    50
26237  4819   1681 35006 974201   371  1162   889  1946   451   343   489   360   224   157    31    51
26238  1333    169 35001   3729    49   370    42   685   187    74   214    60    68    52     7     7
26239  6376   2060 35001   3723   336  1103   741  2938  1258   898  1009   432   268   128    64     0
26240  5435   1229 35001   3712   333  1127   607  2843   525   378   679   398   380   129    52     7
26241  4218    276 35001   3730   200  1181   189  2250   398   220   451   265   359   106    25    14
26242  3275    319 35001   4724   176   912   304  1707   176    75   365   180   277   113    41     2
26243  2949   1032 35006 974202   297   560   328  1306   458   320   416   159   207    41    33     0
26244  4881    669 35001   3804   233  1154   343  2823   328   287   706   334   307    88    50    22
26245  3300    379 35001   4725   306   849   356  1728    61   204   327   213   241   129    36     0
26246  2680     72 35001   4726   293   588   377  1348    74   197   305   220   149    50    34     5
26247  4708   1430 35001   3725   290   834   678  2354   552   643   719   306   218    83    24    16
26248  3584   1571 35001   3724   135   583   432  1836   598   452   663   242   152    56    18     9
26249  4459    810 35001   3715   154   804   411  2413   677   524   777   272   232    94    26    12
26250  2328    251 35001   3726    93   471   259  1289   216   223   349   154   153    49    10     0
26251  7800    706 35001   3727   403  1405  1037  4073   882  1262  1220   508   442   126    37     7
26252  2979   4771 35001   3733   331   650   917   970   111   376   362   254   116    44    38    16
26253  2280    129 35001   4727   132   527   282  1106   233    69   278   172   110    50    45    30
26254  3042    182 35001   4728   110   599   456  1632   245   189   474   211   223    61     0     6
26255  5391    961 35001   3717   268   978   750  2692   703   761   891   355   280    94    15    13
26256  2366    775 35001   4729   219   568   404  1006   169   304   265   153    99    93    18     0
26257  4686   1391 35001   3728   132   668   796  2166   924   904   743   281   192    64     0     0
26258  4895   1923 35001   3707   238   780  1029  2183   665   769   821   298   241    89    13    28
26259  2691    493 35001   3100   114   517   210  1399   451   314   419   149   155    56    19     8
26260  6323   1571 35001   3714   365   820  1834  2440   864  1510  1227   379   173    63    41     0
26261  4887   1943 35001   3719   268   761   692  2032  1134   839   756   310   215    85    14    15
26262  8448    412 35001   4731   897  1696  1290  4234   331   629  1006   651   589   203    49    28
26263  2918   1124 35001   3201   156   690   372  1372   328   298   391   179   157    54    18    17
26264  2452    669 35001   3718    84   387   265  1257   459   278   414   156   117    71    19     6
26265  4196  19530 35001   3400   266  1116  1039  1497   278   790   490   271   161    62    21    28
26266  5621   1830 35001   3202   369  1173   809  2463   807   635   656   384   258   149    57    53
26267  2771    185 35001    107    99   501   222  1504   445   295   524   157   137    59    19     0
26268  3912    597 35001   3002   182   748   464  1991   527   417   502   279   188    87    58    18
26269  3294   1529 35001    204   299   577   621  1366   431   347   411   247   179    78    32    19
26270  1976   2031 35001    203    81   298   292   842   463   437   364   122    74    22     7     4
26271  2702   1105 35001    118    90   590   469  1041   512   275   420   134   181    48    46     0
26272  2164   1054 35001    117    61   389   154  1109   451   194   399   155   104    28    27     0
26273  2696    672 35001    108   122   506   352  1332   384   359   439   152   137    63     0     0
26274  2570   1070 35001    109   144   521   277  1143   485   192   360   166   161    47    27    19
26275  8181    978 35001   4730   987  1291  1888  3616   399   825  1026   655   450   188    80     0
26276  3212    348 35001    206   189   601   358  1416   648   298   457   219   175    81    25    13
26277  4577    716 35001   3001   318  1006   627  2071   555   458   629   284   213    94    55    26
26278  1742    384 35001    119    34   315    46   791   556   233   317   139    59    29     0     0
26279  3304    648 35001    205   135   622   649  1499   399   555   456   221   161    59    45     0
26280  3504   1384 35001    110   151   586   599  1620   548   612   561   236   153    62    13    14
26281  2322    454 35001    111    81   434   231  1101   475   139   433   129   147    33    15     6
26282  2766    670 35001    120   180   563   473  1187   363   321   402   185   137    76    18    13
26283  3950   4267 35001   2900   276   814   566  1862   432   471   411   232   200   127    57    16
26284  2823   3247 35001    208   163   504   303  1498   355   362   381   193   139    66     9    25
26285  3396   6136 35001    207   208   554   369  1625   640   413   550   211   175    41    54     5
26286  4053   3273 35001    122   161   576   424  1754  1138   513   687   258   152    62    36     6
26287  5774   2430 35001    121   385   922   674  2482  1311  1055   818   343   276    92    32    28
26288  3150    592 35001    113   183   640   471  1593   263   336   493   235   169    61    25     0
26289  3322    749 35001    114   209   705   534  1470   404   317   402   250   190    81    28    16
26290  2204    151 35001    112   137   438   149  1295   185   242   345   186    84    59    14     0
26291  3047    462 35001   3806   219   667   186  1781   194   179   452   195   186    82    28     6
26292  3221    592 35001    116   210   685   349  1680   297   308   448   191   185    78    36    12
26293  3057    836 35001    115   179   557   467  1386   468   454   481   220   111    51    36     0
26294  6109   4691 35001    300   305   755  1283  2807   959   993  1072   435   274    67    20     4
26295  4109   7663 35001   2700   168   581   702  2161   497   801   614   200   131    53    45    31
26296  1884   1901 35001   2500   120   412   272   867   213   237   197   137   107    57    17    15
26297  5268    658 35001   2401   362  1170   751  2360   625   307   581   359   275   172    72    36
26298  9005   4185 35001   4705  1033  2268  1909  3434   361   608   766   640   578   275   107    56
26299  2276   2739 35001   2000   105   376   765   738   292   457   360   164    63    34     8     6
26300  4218   2839 35001    401   225   698   564  1979   752   653   677   259   194    74    45     0
26301  3653   5141 35001    124   144   470   635  1801   603  1300   486   157   114    32    22     3
26302  4324    366 35001    125   277   870   304  2435   438   203   718   291   295   104    13    11
26303  5035   1644 35001    123   285   988   551  2323   888   487   772   326   257   108    64     3
26304  2354  12483 35001   1800    18   231  1712   239   154   305    62     0     8     0     0     0
26305  2907    640 35001    127   122   647   357  1317   464   277   418   199   160    72    21     7
26306  2923    791 35001    126   180   556   426  1349   412   369   485   199   125    59    26     5
26307  3765   3308 35001    601   184   584   520  1617   860   668   584   219   155   111    10     0
26308  1400    978 35001   2600    93   179   225   618   285   362   163   102    54    24     6     0
26309  3384   1102 35001   2200   209   445   636  1574   520   920   532   143   117    35    11    32
26310  4502    469 35001    129   327   773   728  1943   731   888   641   325   186   100     0    17
26311  3568   1657 35001    402   153   573   433  1813   596   591   603   237   156    74     0    12
26312  3302    590 35001    128   244   717   489  1483   369   281   419   263   178    84    31     5
26313  6343   1718 35031 940300   466  1790  1007  2670   410   127   218   264   276   231   178   177
26314  7606    828 35001   2402   633  1860  1122  3200   791   500   674   481   420   233   126   100
26315  1051   1097 35001   1900    55   129   255   333   279   234   133    51    20    28     0     0
26316  1721  16561 35001   2100    27    48   601   928   117   212    91    31     6     0     0     0
26317  2814    527 35006 941500   255   788   446  1100   225    87   101   111   122   104    83    84
26318  7736   1083 35001   2300   673  1756  1266  3128   913   554   592   458   451   265   151    72
26319  4792    384 35001    711   293   869   649  2529   452   441   733   341   250   111    51     0
26320  3724   1800 35001    704   224   796   497  1830   377   421   451   239   220   106    38     0
26321  4883   3361 35001   1700   165   470  1844  2051   353  1257   875   320   139    58     7     8
26322  7630   7127 35001    500   348   845  1392  3319  1726  1938  1217   408   208    78    39     6
26323  5769   2587 35001    707   406  1197   826  2389   951   730   699   359   273   156    78    43
26324  5109   1150 35001    603   654  1177  1037  1966   275   391   431   290   294   156    50    93
26325  3976   1817 35001    604   412   628   967  1672   297   661   429   249   185    85    56    29
26326  4430    385 35001    712   421  1090   809  1880   230   402   529   297   267   117    42    17
26327  2932   1860 35001   1500   245   613   553  1217   304   420   236   144   109    77    36    48
26328  4626    894 35001   4712   548  1126  1060  1708   184   220   358   322   332   142    71    27
26329  2578   5047 35001   1600    52   189  1399   746   192   848   444   127    49     0     5     0
